0
1
2
3
4
5
6
7
8
9
―
:
(
)
/
&
+
~
々
a
A
b
B
C
c
d
D
E
e
F
f
g
G
h
H
I
i
J
j
K
k
l
L
M
m
N
n
N
O
o
P
p
Q
q
R
r
S
s
T
t
U
u
V
v
W
w
X
x
y
Y
Z
z
α
Σ
ア
あ
イ
い
ウ
う
ヴ
エ
え
オ
お
カ
か
ガ
が
キ
き
ギ
ぎ
ク
く
グ
ぐ
ケ
け
ゲ
げ
コ
こ
ゴ
ご
サ
さ
ザ
ざ
シ
し
ジ
じ
ス
す
ズ
ず
セ
せ
ゼ
ぜ
ソ
そ
ゾ
ぞ
タ
た
ダ
だ
チ
ち
ヂ
ツ
つ
ヅ
づ
テ
て
デ
で
ト
と
ド
ど
ナ
な
ニ
に
ヌ
ぬ
ネ
ね
ノ
の
ハ
は
バ
ば
パ
ぱ
ヒ
ひ
ビ
び
ピ
ぴ
フ
ふ
ブ
ぶ
プ
ぷ
ヘ
へ
ベ
べ
ペ
ぺ
ホ
ほ
ボ
ぼ
ポ
ぽ
マ
ま
ミ
み
ム
む
メ
め
モ
も
ヤ
や
ユ
ゆ
ヨ
よ
ラ
ら
リ
り
ル
る
レ
れ
ロ
ろ
ワ
わ
ヰ
ヱ
ゑ
ヲ
ン
ん
一
丁
七
万
丈
三
上
下
不
与
丑
且
世
丘
丙
両
並
中
串
丸
丹
主
乃
久
之
乎
乗
乙
九
乞
也
乢
乱
乳
乾
亀
了
予
事
二
互
五
井
亘
亜
亟
交
亥
亦
享
京
亭
人
仁
今
介
仏
仕
付
仙
代
令
以
仮
仰
仲
件
任
企
伊
伍
伎
伏
伐
休
会
伝
伯
伴
伶
伸
伺
似
伽
佃
但
位
低
住
佐
佑
体
余
佛
作
佳
併
使
來
侈
例
侍
供
依
侭
便
係
促
俊
俎
俗
保
信
俣
修
俳
俵
倉
個
倍
倖
候
借
値
倫
倭
倶
假
偕
停
健
側
傍
傘
備
催
傳
傾
像
僑
僧
儀
億
儘
優
兀
元
兄
先
光
免
兎
児
党
兜
入
全
八
公
六
共
兵
其
具
典
兼
内
円
再
冑
写
冠
冥
冨
冬
冶
冷
凍
処
凧
凪
凰
出
函
刀
刃
分
切
刈
刎
刑
列
初
判
別
利
到
刷
券
刺
剃
則
削
前
剛
剣
剥
剪
副
剰
剱
割
創
劇
劔
力
功
加
助
劫
労
勅
勇
勒
動
勘
務
勝
勢
勧
勲
勺
勾
勿
匂
包
化
北
匝
匠
匹
区
医
十
千
升
午
半
卑
卒
卓
協
南
単
博
卜
占
卦
卯
印
卸
厘
厚
原
厨
厩
厳
去
参
又
叉
及
友
双
反
収
叔
取
受
叙
叡
口
古
句
只
可
台
史
右
叶
号
司
叺
各
合
吉
同
名
后
吐
向
君
吟
吠
吸
吹
吾
呂
呉
告
呑
周
呪
呰
味
呼
命
咋
和
咲
品
哉
員
哲
唄
唐
唯
商
問
啓
啼
善
喜
喬
喰
営
嗽
嘉
噌
器
噴
嚢
四
回
因
団
囲
図
固
国
圃
國
園
土
圦
在
地
圷
坂
坊
坏
坑
坤
坦
坪
垂
垈
型
垢
垣
垪
垰
垳
埋
城
埓
埖
埜
域
埠
埣
埴
基
埼
堀
堂
堅
堕
堤
堪
堰
報
場
堵
堺
塀
塒
塔
塗
塘
塙
塚
塞
塩
境
墓
増
墨
墹
墾
壁
壇
壊
壗
士
壬
壮
声
壱
売
壹
壺
壽
夏
夕
外
多
夜
夢
大
天
太
夫
央
夷
奄
奇
奈
奉
奏
契
奔
奥
奨
奮
女
奴
好
如
妃
妙
妹
妻
姉
